labour_entry_id,labour_id,work_type,project_id,work_date,daily_wage
LE00001,LB013,Bar Bender,PR001,2024-03-11,700
LE00002,LB009,Helper,PR001,2024-03-11,1000
LE00003,LB018,Carpenter,PR001,2024-03-11,650
LE00004,LB008,Mason,PR001,2024-03-11,1000
LE00005,LB011,Bar Bender,PR001,2024-03-11,750
LE00006,LB014,Carpenter,PR001,2024-03-11,850
LE00007,LB020,Bar Bender,PR001,2024-03-11,600
LE00008,LB015,Helper,PR001,2024-03-11,700
LE00009,LB001,Mason,PR001,2024-03-11,650
LE00010,LB004,Mason,PR001,2024-03-11,650
LE00011,LB013,Bar Bender,PR001,2024-03-12,700
LE00012,LB015,Helper,PR001,2024-03-12,700
LE00013,LB005,Mason,PR001,2024-03-12,900
LE00014,LB009,Helper,PR001,2024-03-12,1000
LE00015,LB018,Carpenter,PR001,2024-03-12,650
LE00016,LB004,Mason,PR001,2024-03-12,650
LE00017,LB012,Mason,PR001,2024-03-12,800
LE00018,LB017,Bar Bender,PR001,2024-03-12,650
LE00019,LB020,Bar Bender,PR001,2024-03-12,600
LE00020,LB016,Mason,PR001,2024-03-12,850
LE00021,LB004,Mason,PR001,2024-03-13,650
LE00022,LB005,Mason,PR001,2024-03-13,900
LE00023,LB006,Mason,PR001,2024-03-13,600
LE00024,LB014,Carpenter,PR001,2024-03-13,850
LE00025,LB003,Helper,PR001,2024-03-13,750
LE00026,LB007,Helper,PR001,2024-03-13,750
LE00027,LB015,Helper,PR001,2024-03-13,700
LE00028,LB010,Bar Bender,PR001,2024-03-13,1000
LE00029,LB008,Mason,PR001,2024-03-13,1000
LE00030,LB009,Helper,PR001,2024-03-13,1000
LE00031,LB004,Mason,PR001,2024-03-14,650
LE00032,LB010,Bar Bender,PR001,2024-03-14,1000
LE00033,LB014,Carpenter,PR001,2024-03-14,850
LE00034,LB006,Mason,PR001,2024-03-14,600
LE00035,LB015,Helper,PR001,2024-03-14,700
LE00036,LB001,Mason,PR001,2024-03-14,650
LE00037,LB012,Mason,PR001,2024-03-14,800
LE00038,LB018,Carpenter,PR001,2024-03-14,650
LE00039,LB005,Mason,PR001,2024-03-14,900
LE00040,LB009,Helper,PR001,2024-03-14,1000
LE00041,LB006,Mason,PR001,2024-03-15,600
LE00042,LB018,Carpenter,PR001,2024-03-15,650
LE00043,LB017,Bar Bender,PR001,2024-03-15,650
LE00044,LB001,Mason,PR001,2024-03-15,650
LE00045,LB011,Bar Bender,PR001,2024-03-15,750
LE00046,LB008,Mason,PR001,2024-03-15,1000
LE00047,LB019,Carpenter,PR001,2024-03-15,850
LE00048,LB002,Helper,PR001,2024-03-15,800
LE00049,LB020,Bar Bender,PR001,2024-03-15,600
LE00050,LB005,Mason,PR001,2024-03-15,900
LE00051,LB005,Mason,PR001,2024-03-16,900
LE00052,LB016,Mason,PR001,2024-03-16,850
LE00053,LB018,Carpenter,PR001,2024-03-16,650
LE00054,LB006,Mason,PR001,2024-03-16,600
LE00055,LB009,Helper,PR001,2024-03-16,1000
LE00056,LB019,Carpenter,PR001,2024-03-16,850
LE00057,LB014,Carpenter,PR001,2024-03-16,850
LE00058,LB010,Bar Bender,PR001,2024-03-16,1000
LE00059,LB007,Helper,PR001,2024-03-16,750
LE00060,LB004,Mason,PR001,2024-03-16,650
LE00061,LB004,Mason,PR001,2024-03-18,650
LE00062,LB008,Mason,PR001,2024-03-18,1000
LE00063,LB019,Carpenter,PR001,2024-03-18,850
LE00064,LB003,Helper,PR001,2024-03-18,750
LE00065,LB011,Bar Bender,PR001,2024-03-18,750
LE00066,LB001,Mason,PR001,2024-03-18,650
LE00067,LB010,Bar Bender,PR001,2024-03-18,1000
LE00068,LB009,Helper,PR001,2024-03-18,1000
LE00069,LB020,Bar Bender,PR001,2024-03-18,600
LE00070,LB014,Carpenter,PR001,2024-03-18,850
LE00071,LB011,Bar Bender,PR001,2024-03-19,750
LE00072,LB003,Helper,PR001,2024-03-19,750
LE00073,LB017,Bar Bender,PR001,2024-03-19,650
LE00074,LB008,Mason,PR001,2024-03-19,1000
LE00075,LB009,Helper,PR001,2024-03-19,1000
LE00076,LB020,Bar Bender,PR001,2024-03-19,600
LE00077,LB018,Carpenter,PR001,2024-03-19,650
LE00078,LB004,Mason,PR001,2024-03-19,650
LE00079,LB016,Mason,PR001,2024-03-19,850
LE00080,LB019,Carpenter,PR001,2024-03-19,850
LE00081,LB014,Carpenter,PR001,2024-03-20,850
LE00082,LB012,Mason,PR001,2024-03-20,800
LE00083,LB020,Bar Bender,PR001,2024-03-20,600
LE00084,LB018,Carpenter,PR001,2024-03-20,650
LE00085,LB015,Helper,PR001,2024-03-20,700
LE00086,LB017,Bar Bender,PR001,2024-03-20,650
LE00087,LB019,Carpenter,PR001,2024-03-20,850
LE00088,LB001,Mason,PR001,2024-03-20,650
LE00089,LB011,Bar Bender,PR001,2024-03-20,750
LE00090,LB016,Mason,PR001,2024-03-20,850
LE00091,LB018,Carpenter,PR001,2024-03-21,650
LE00092,LB015,Helper,PR001,2024-03-21,700
LE00093,LB005,Mason,PR001,2024-03-21,900
LE00094,LB014,Carpenter,PR001,2024-03-21,850
LE00095,LB006,Mason,PR001,2024-03-21,600
LE00096,LB020,Bar Bender,PR001,2024-03-21,600
LE00097,LB008,Mason,PR001,2024-03-21,1000
LE00098,LB004,Mason,PR001,2024-03-21,650
LE00099,LB002,Helper,PR001,2024-03-21,800
LE00100,LB017,Bar Bender,PR001,2024-03-21,650
LE00101,LB014,Carpenter,PR001,2024-03-22,850
LE00102,LB016,Mason,PR001,2024-03-22,850
LE00103,LB019,Carpenter,PR001,2024-03-22,850
LE00104,LB007,Helper,PR001,2024-03-22,750
LE00105,LB013,Bar Bender,PR001,2024-03-22,700
LE00106,LB015,Helper,PR001,2024-03-22,700
LE00107,LB001,Mason,PR001,2024-03-22,650
LE00108,LB003,Helper,PR001,2024-03-22,750
LE00109,LB017,Bar Bender,PR001,2024-03-22,650
LE00110,LB020,Bar Bender,PR001,2024-03-22,600
LE00111,LB010,Bar Bender,PR001,2024-03-23,1000
LE00112,LB007,Helper,PR001,2024-03-23,750
LE00113,LB002,Helper,PR001,2024-03-23,800
LE00114,LB018,Carpenter,PR001,2024-03-23,650
LE00115,LB011,Bar Bender,PR001,2024-03-23,750
LE00116,LB001,Mason,PR001,2024-03-23,650
LE00117,LB015,Helper,PR001,2024-03-23,700
LE00118,LB020,Bar Bender,PR001,2024-03-23,600
LE00119,LB008,Mason,PR001,2024-03-23,1000
LE00120,LB009,Helper,PR001,2024-03-23,1000
LE00121,LB008,Mason,PR002,2024-03-25,1000
LE00122,LB013,Bar Bender,PR001,2024-03-25,700
LE00123,LB004,Mason,PR002,2024-03-25,650
LE00124,LB020,Bar Bender,PR001,2024-03-25,600
LE00125,LB002,Helper,PR002,2024-03-25,800
LE00126,LB010,Bar Bender,PR001,2024-03-25,1000
LE00127,LB016,Mason,PR002,2024-03-25,850
LE00128,LB007,Helper,PR001,2024-03-25,750
LE00129,LB011,Bar Bender,PR002,2024-03-25,750
LE00130,LB015,Helper,PR001,2024-03-25,700
LE00131,LB012,Mason,PR002,2024-03-25,800
LE00132,LB009,Helper,PR001,2024-03-25,1000
LE00133,LB006,Mason,PR002,2024-03-25,600
LE00134,LB003,Helper,PR001,2024-03-25,750
LE00135,LB014,Carpenter,PR002,2024-03-25,850
LE00136,LB019,Carpenter,PR001,2024-03-25,850
LE00137,LB017,Bar Bender,PR002,2024-03-25,650
LE00138,LB018,Carpenter,PR001,2024-03-25,650
LE00139,LB005,Mason,PR002,2024-03-25,900
LE00140,LB001,Mason,PR001,2024-03-25,650
LE00141,LB010,Bar Bender,PR002,2024-03-26,1000
LE00142,LB015,Helper,PR001,2024-03-26,700
LE00143,LB011,Bar Bender,PR002,2024-03-26,750
LE00144,LB003,Helper,PR001,2024-03-26,750
LE00145,LB001,Mason,PR002,2024-03-26,650
LE00146,LB008,Mason,PR001,2024-03-26,1000
LE00147,LB020,Bar Bender,PR002,2024-03-26,600
LE00148,LB014,Carpenter,PR001,2024-03-26,850
LE00149,LB002,Helper,PR002,2024-03-26,800
LE00150,LB012,Mason,PR001,2024-03-26,800
LE00151,LB009,Helper,PR002,2024-03-26,1000
LE00152,LB004,Mason,PR001,2024-03-26,650
LE00153,LB005,Mason,PR002,2024-03-26,900
LE00154,LB018,Carpenter,PR001,2024-03-26,650
LE00155,LB017,Bar Bender,PR002,2024-03-26,650
LE00156,LB016,Mason,PR001,2024-03-26,850
LE00157,LB007,Helper,PR002,2024-03-26,750
LE00158,LB013,Bar Bender,PR001,2024-03-26,700
LE00159,LB006,Mason,PR002,2024-03-26,600
LE00160,LB019,Carpenter,PR001,2024-03-26,850
LE00161,LB015,Helper,PR002,2024-03-27,700
LE00162,LB018,Carpenter,PR001,2024-03-27,650
LE00163,LB010,Bar Bender,PR002,2024-03-27,1000
LE00164,LB017,Bar Bender,PR001,2024-03-27,650
LE00165,LB001,Mason,PR002,2024-03-27,650
LE00166,LB011,Bar Bender,PR001,2024-03-27,750
LE00167,LB014,Carpenter,PR002,2024-03-27,850
LE00168,LB009,Helper,PR001,2024-03-27,1000
LE00169,LB005,Mason,PR002,2024-03-27,900
LE00170,LB020,Bar Bender,PR001,2024-03-27,600
LE00171,LB002,Helper,PR002,2024-03-27,800
LE00172,LB003,Helper,PR001,2024-03-27,750
LE00173,LB012,Mason,PR002,2024-03-27,800
LE00174,LB016,Mason,PR001,2024-03-27,850
LE00175,LB007,Helper,PR002,2024-03-27,750
LE00176,LB008,Mason,PR001,2024-03-27,1000
LE00177,LB019,Carpenter,PR002,2024-03-27,850
LE00178,LB004,Mason,PR001,2024-03-27,650
LE00179,LB013,Bar Bender,PR002,2024-03-27,700
LE00180,LB006,Mason,PR001,2024-03-27,600
LE00181,LB011,Bar Bender,PR001,2024-03-28,750
LE00182,LB007,Helper,PR002,2024-03-28,750
LE00183,LB009,Helper,PR001,2024-03-28,1000
LE00184,LB017,Bar Bender,PR002,2024-03-28,650
LE00185,LB016,Mason,PR001,2024-03-28,850
LE00186,LB005,Mason,PR002,2024-03-28,900
LE00187,LB014,Carpenter,PR001,2024-03-28,850
LE00188,LB001,Mason,PR002,2024-03-28,650
LE00189,LB002,Helper,PR001,2024-03-28,800
LE00190,LB020,Bar Bender,PR002,2024-03-28,600
LE00191,LB019,Carpenter,PR001,2024-03-28,850
LE00192,LB015,Helper,PR002,2024-03-28,700
LE00193,LB013,Bar Bender,PR001,2024-03-28,700
LE00194,LB008,Mason,PR002,2024-03-28,1000
LE00195,LB003,Helper,PR001,2024-03-28,750
LE00196,LB012,Mason,PR002,2024-03-28,800
LE00197,LB006,Mason,PR001,2024-03-28,600
LE00198,LB010,Bar Bender,PR002,2024-03-28,1000
LE00199,LB018,Carpenter,PR001,2024-03-28,650
LE00200,LB004,Mason,PR002,2024-03-28,650
LE00201,LB018,Carpenter,PR002,2024-03-29,650
LE00202,LB001,Mason,PR001,2024-03-29,650
LE00203,LB004,Mason,PR002,2024-03-29,650
LE00204,LB003,Helper,PR001,2024-03-29,750
LE00205,LB005,Mason,PR002,2024-03-29,900
LE00206,LB009,Helper,PR001,2024-03-29,1000
LE00207,LB019,Carpenter,PR002,2024-03-29,850
LE00208,LB006,Mason,PR001,2024-03-29,600
LE00209,LB010,Bar Bender,PR002,2024-03-29,1000
LE00210,LB015,Helper,PR001,2024-03-29,700
LE00211,LB017,Bar Bender,PR002,2024-03-29,650
LE00212,LB007,Helper,PR001,2024-03-29,750
LE00213,LB012,Mason,PR002,2024-03-29,800
LE00214,LB014,Carpenter,PR001,2024-03-29,850
LE00215,LB008,Mason,PR002,2024-03-29,1000
LE00216,LB013,Bar Bender,PR001,2024-03-29,700
LE00217,LB011,Bar Bender,PR002,2024-03-29,750
LE00218,LB002,Helper,PR001,2024-03-29,800
LE00219,LB020,Bar Bender,PR002,2024-03-29,600
LE00220,LB016,Mason,PR001,2024-03-29,850
LE00221,LB004,Mason,PR001,2024-03-30,650
LE00222,LB012,Mason,PR002,2024-03-30,800
LE00223,LB018,Carpenter,PR001,2024-03-30,650
LE00224,LB014,Carpenter,PR002,2024-03-30,850
LE00225,LB005,Mason,PR001,2024-03-30,900
LE00226,LB015,Helper,PR002,2024-03-30,700
LE00227,LB020,Bar Bender,PR001,2024-03-30,600
LE00228,LB003,Helper,PR002,2024-03-30,750
LE00229,LB013,Bar Bender,PR001,2024-03-30,700
LE00230,LB007,Helper,PR002,2024-03-30,750
LE00231,LB001,Mason,PR001,2024-03-30,650
LE00232,LB019,Carpenter,PR002,2024-03-30,850
LE00233,LB006,Mason,PR001,2024-03-30,600
LE00234,LB011,Bar Bender,PR002,2024-03-30,750
LE00235,LB017,Bar Bender,PR001,2024-03-30,650
LE00236,LB002,Helper,PR002,2024-03-30,800
LE00237,LB009,Helper,PR001,2024-03-30,1000
LE00238,LB010,Bar Bender,PR002,2024-03-30,1000
LE00239,LB008,Mason,PR001,2024-03-30,1000
LE00240,LB016,Mason,PR002,2024-03-30,850
LE00241,LB002,Helper,PR001,2024-04-01,800
LE00242,LB016,Mason,PR002,2024-04-01,850
LE00243,LB008,Mason,PR001,2024-04-01,1000
LE00244,LB007,Helper,PR002,2024-04-01,750
LE00245,LB015,Helper,PR001,2024-04-01,700
LE00246,LB006,Mason,PR002,2024-04-01,600
LE00247,LB005,Mason,PR001,2024-04-01,900
LE00248,LB013,Bar Bender,PR002,2024-04-01,700
LE00249,LB004,Mason,PR001,2024-04-01,650
LE00250,LB012,Mason,PR002,2024-04-01,800
LE00251,LB001,Mason,PR001,2024-04-01,650
LE00252,LB011,Bar Bender,PR002,2024-04-01,750
LE00253,LB017,Bar Bender,PR001,2024-04-01,650
